City,Lat,Long,Temp,Max Temp,Min Temp,Humidity,Clouds,Wind,Country,Datetime
karaman,37.0833,33.25,3.94,3.94,3.94,88,64,4.07,TR,1674925436
hastings,50.8552,0.5729,4.41,5.44,2.63,76,16,2.67,GB,1674925213
bara,10.3744,10.7288,31.4,31.4,31.4,12,74,1.58,NG,1674925436
port augusta,-32.5,137.7667,21.48,21.48,21.48,85,100,0.6,AU,1674925436
okhotsk,59.3833,143.3,-24.16,-24.16,-24.16,83,100,5.2,RU,1674925436
oudtshoorn,-33.5907,22.2014,14.2,14.2,14.2,86,100,4.45,ZA,1674925436
waingapu,-9.6567,120.2641,25.91,25.91,25.91,86,100,2.51,ID,1674925437
tuatapere,-46.1333,167.6833,10.93,10.93,10.93,88,7,1.02,NZ,1674925437
condega,13.365,-86.3985,27.08,27.08,27.08,41,78,7.54,NI,1674925437
starovelichkovskaya,45.4288,38.7326,3.41,3.41,3.41,60,100,4.31,RU,1674925437
curaca,-8.9903,-39.9094,35.5,35.5,35.5,23,0,4.64,BR,1674925437
alice springs,-23.7,133.8833,23.75,23.75,23.75,94,93,3.09,AU,1674925438
cayenne,4.9333,-52.3333,26.02,26.02,26.02,83,75,2.06,GF,1674925438
hwange,-18.3693,26.5019,23.37,23.37,23.37,85,55,1.55,ZW,1674925439
juye,35.3947,116.0883,-1.61,-1.61,-1.61,25,0,3.78,CN,1674925439
petauke,-14.2426,31.3253,20.07,20.07,20.07,93,100,1.22,ZM,1674925439
komsomolskiy,40.4272,71.7189,-0.6,-0.6,-0.6,69,100,2.06,UZ,1674925440
ukholovo,53.7929,40.4892,-8.91,-8.91,-8.91,96,63,2.09,RU,1674925440
semenivka,52.1783,32.5818,-2.83,-2.83,-2.83,88,38,2.92,UA,1674925441
esperance,-33.8667,121.9,15.59,15.59,15.59,67,0,4.26,AU,1674925208
kanniyakumari,8.0833,77.5667,24.13,24.13,24.13,76,34,6.11,IN,1674925237
ikeda,34.8221,135.4298,-1.88,2.84,-3.48,92,9,2.43,JP,1674925441
dongkan,33.9997,119.8308,-2.31,-2.31,-2.31,40,0,3.16,CN,1674925441
borodino,55.9106,94.8983,-5.12,-5.12,-5.12,94,100,6.36,RU,1674925442
zhangjiakou,40.81,114.8794,-7.59,-7.59,-7.59,40,0,4.04,CN,1674925442
jutai,-5.1833,-68.9,28.56,28.56,28.56,74,100,0.96,BR,1674925442
bilibino,68.0546,166.4372,-19.9,-19.9,-19.9,94,98,1.99,RU,1674925442
skibbereen,51.55,-9.2667,9.5,9.5,9.5,96,93,1.93,IE,1674925443
suoyarvi,62.0833,32.35,-3.21,-3.21,-3.21,94,100,6.84,RU,1674925443
prince albert,53.2001,-105.7677,-21.85,-21.85,-21.85,91,41,5.2,CA,1674925443
mayahi,13.9553,7.6712,32.07,32.07,32.07,10,88,4.88,NE,1674925443
ouargaye,11.5033,0.0572,34.46,34.46,34.46,9,23,2.58,BF,1674925444
dera ghazi khan,30.0561,70.6348,14.01,14.01,14.01,17,13,2.78,PK,1674925445
darbhanga,26.1667,85.9,15.12,15.12,15.12,59,0,2.71,IN,1674925445
stornoway,58.2093,-6.3865,5.76,6.63,5.58,89,75,3.09,GB,1674925445
aykhal,66.0,111.5,-36.57,-36.57,-36.57,100,99,1.85,RU,1674925445
puerto madryn,-42.7692,-65.0385,28.14,28.14,28.14,26,0,3.07,AR,1674925446
wittingen,52.7269,10.7361,0.58,1.1,-2.48,84,38,2.61,DE,1674925447
vila franca do campo,37.7167,-25.4333,14.23,14.23,14.23,74,63,5.02,PT,1674925447
sao felix do xingu,-6.6447,-51.995,28.35,28.35,28.35,70,98,1.24,BR,1674925447
kamenka,51.3223,42.7678,-9.23,-9.23,-9.23,90,63,2.96,RU,1674925447
bahce,37.1972,36.5766,4.5,4.5,4.5,88,80,2.98,TR,1674925448
rawah,34.4816,41.9093,13.38,13.38,13.38,51,99,8.44,IQ,1674925448
lesnoy,57.6198,63.0784,-13.39,-13.39,-13.39,98,60,2.69,RU,1674925448
veraval,20.9,70.3667,21.7,21.7,21.7,76,0,3.02,IN,1674925448
katsuura,35.1333,140.3,3.71,3.71,3.71,55,39,2.33,JP,1674925269
amurzet,47.6967,131.0981,-32.63,-32.63,-32.63,96,6,2.25,RU,1674925449
khandyga,62.6667,135.6,-47.33,-47.33,-47.33,100,78,1.14,RU,1674925449
grindavik,63.8424,-22.4338,5.26,5.26,5.26,81,75,9.77,IS,1674925449
bereznik,62.8551,42.7072,-5.79,-5.79,-5.79,83,99,4.61,RU,1674925450
ochsenfurt,49.6643,10.0623,-0.27,-0.2,-0.65,85,53,1.99,DE,1674925451
nicoya,10.1483,-85.452,30.26,30.26,30.26,40,29,9.09,CR,1674925451
tura,25.5198,90.2201,16.44,16.44,16.44,46,3,1.21,IN,1674925452
sistranda,63.7256,8.834,2.98,2.98,2.98,75,100,15.35,NO,1674925435
soyo,-6.1349,12.3689,27.04,27.04,27.04,78,84,2.9,AO,1674925453
inirida,3.8653,-67.9239,33.33,33.33,33.33,41,14,1.55,CO,1674925453
ahipara,-35.1667,173.1667,19.15,19.15,19.15,96,82,2.54,NZ,1674925453
ahar,38.4774,47.0699,-1.98,-1.98,-1.98,72,90,3.57,IR,1674925454
kortkeros,61.8106,51.5806,-7.0,-7.0,-7.12,86,100,4.74,RU,1674925454
samut prakan,13.5,100.45,23.05,23.37,22.02,46,8,6.57,TH,1674925454
constitucion,-35.3333,-72.4167,22.77,22.77,22.77,46,2,5.19,CL,1674925455
nanortalik,60.1432,-45.2371,-4.27,-4.27,-4.27,77,100,16.76,GL,1674925455
bathsheba,13.2167,-59.5167,28.34,28.34,28.34,57,40,9.77,BB,1674925455
kamareddi,18.3167,78.35,21.4,21.4,21.4,28,0,2.65,IN,1674925455
urumqi,43.801,87.6005,-20.47,-20.47,-20.47,84,9,0.0,CN,1674925343
dalvik,65.9702,-18.5286,4.15,4.15,4.15,93,98,4.7,IS,1674925456
te anau,-45.4167,167.7167,10.64,10.64,10.64,75,0,0.51,NZ,1674925456
chandrakona,22.7333,87.5167,20.48,20.48,20.48,38,0,3.34,IN,1674925456
bengkulu,-3.8004,102.2655,24.43,24.43,24.43,89,100,4.36,ID,1674925457
port said,31.2565,32.2841,17.84,17.84,17.84,76,39,6.53,EG,1674925457
maniitsoq,65.4167,-52.9,-10.01,-10.01,-10.01,87,100,8.67,GL,1674925457
bichura,50.5881,107.6022,-16.27,-16.27,-16.27,91,91,1.74,RU,1674925458
sambava,-14.2667,50.1667,25.9,25.9,25.9,91,59,2.18,MG,1674925458
labuhan,-6.8844,112.2051,24.43,24.43,24.43,92,100,2.53,ID,1674925458
balaipungut,1.05,101.2833,23.06,23.06,23.06,96,100,1.84,ID,1674925459
lavrentiya,65.5833,-171.0,-8.55,-8.55,-8.55,96,100,0.76,RU,1674925459
kruisfontein,-34.0033,24.7314,16.6,16.6,16.6,85,92,7.7,ZA,1674925459
carutapera,-1.195,-46.02,28.47,28.47,28.47,66,100,2.61,BR,1674925460
marsh harbour,26.5412,-77.0636,21.87,21.87,21.87,71,86,9.06,BS,1674925460
torquay,50.4638,-3.5143,5.09,6.03,4.26,82,76,0.45,GB,1674925460
mazagao,-0.115,-51.2894,29.58,29.58,29.58,60,92,2.43,BR,1674925461
pangnirtung,66.1451,-65.7125,-38.94,-38.94,-38.94,96,99,1.64,CA,1674925461
nantucket,41.2835,-70.0995,9.0,9.06,7.78,69,0,7.2,US,1674925461
pleven,43.4167,24.6167,0.97,0.97,0.97,93,100,2.06,BG,1674925461
coihaique,-45.5752,-72.0662,21.97,22.34,21.97,53,40,5.66,CL,1674925462
hofn,64.2539,-15.2082,3.39,3.39,3.39,95,100,5.74,IS,1674925462
yellowknife,62.456,-114.3525,-23.59,-23.59,-23.59,90,47,7.24,CA,1674925462
kaeo,-35.1,173.7833,21.29,21.29,21.29,96,99,2.77,NZ,1674925463
merke,42.8728,73.1786,-6.02,-6.02,-6.02,69,14,2.49,KZ,1674925463
zilina,49.1667,19.1667,-5.74,-5.32,-8.5,95,94,2.06,SK,1674925464
vyartsilya,62.1764,30.693,-1.82,-1.82,-1.82,96,100,5.72,RU,1674925464
hassan,13.0006,76.0994,18.11,18.11,18.11,44,92,0.59,IN,1674925464
vigrestad,58.5667,5.7,5.33,6.09,4.89,87,99,7.06,NO,1674925465
gangakher,18.95,76.75,24.13,24.13,24.13,24,0,2.38,IN,1674925465
ambon,-3.6954,128.1814,25.08,25.08,25.08,94,40,3.6,ID,1674925465
mumford,5.2618,-0.759,27.94,27.94,27.94,77,52,6.25,GH,1674925466
dzyhivka,48.359,28.3158,-1.21,-1.21,-1.21,69,75,4.85,UA,1674925466
dibulla,11.2725,-73.3091,30.77,30.77,30.77,36,6,7.05,CO,1674925466
mount gambier,-37.8333,140.7667,15.2,15.2,15.2,96,100,2.92,AU,1674925258
talnakh,69.4865,88.3972,-18.72,-18.72,-18.72,96,99,2.9,RU,1674925467
broken hill,-31.95,141.4333,28.6,28.6,28.6,24,100,5.91,AU,1674925468
asyut,27.181,31.1837,22.69,22.69,22.69,20,4,2.8,EG,1674925468
murupara,-38.4667,176.7,19.82,19.82,19.82,99,100,2.07,NZ,1674925468
hami,42.8,93.45,-7.62,-7.62,-7.62,32,0,0.82,CN,1674925469
long,18.0761,99.8326,19.1,19.1,19.1,60,0,0.62,TH,1674925253
banikoara,11.2985,2.4386,34.62,34.62,34.62,9,38,1.31,BJ,1674925469
neumunster,54.0667,9.9833,1.67,2.16,0.92,91,71,3.13,DE,1674925470
margate,51.3813,1.3862,4.38,4.83,3.5,70,29,2.17,GB,1674925470
srivardhan,18.0333,73.0167,22.94,22.94,22.94,87,0,0.9,IN,1674925472
kieta,-6.2167,155.6333,26.16,26.16,26.16,84,18,1.02,PG,1674925473
savinka,50.0785,47.0994,-4.97,-4.97,-4.97,77,93,3.06,RU,1674925473
adrar,20.5022,-10.0711,20.33,20.33,20.33,27,35,4.71,MR,1674925473
bobcaygeon,44.5462,-78.542,-0.62,-0.62,-1.59,84,43,5.55,CA,1674925473
pisco,-13.7,-76.2167,24.03,24.03,24.03,78,0,4.63,PE,1674925474
yar-sale,66.8333,70.8333,-17.55,-17.55,-17.55,95,100,3.19,RU,1674925474
cabinda,-5.55,12.2,27.14,27.14,27.14,76,75,3.03,AO,1674925474
vallenar,-28.5708,-70.7581,30.75,30.75,30.75,32,0,4.04,CL,1674925474
camacha,33.0833,-16.3333,13.68,13.68,13.68,63,40,8.75,PT,1674925475
harper,4.375,-7.7169,28.69,28.69,28.69,70,73,3.41,LR,1674925475
tafo,6.7345,-1.6127,35.69,35.69,35.69,24,70,1.69,GH,1674925475
lluta,-16.0147,-72.0142,14.21,14.21,14.21,74,94,4.64,PE,1674925475
taltal,-25.4,-70.4833,22.38,22.38,22.38,71,28,3.16,CL,1674925475
basco,20.4487,121.9702,19.71,19.71,19.71,70,100,11.8,PH,1674925476
xam nua,20.4197,104.0439,4.71,4.71,4.71,67,1,1.12,LA,1674925477
khairagarh,26.95,77.8167,13.38,13.38,13.38,33,18,0.59,IN,1674925478
jacareacanga,-6.2222,-57.7528,26.4,26.4,26.4,92,100,1.94,BR,1674925478
pathein,16.7833,94.7333,21.85,21.85,21.85,78,0,2.46,MM,1674925478
tokur,53.1333,132.9,-39.55,-39.55,-39.55,100,88,1.09,RU,1674925478
quang ngai,15.1167,108.8,17.31,17.31,17.31,91,100,2.92,VN,1674925201
belmonte,-15.8631,-38.8828,28.16,28.16,28.16,67,28,3.56,BR,1674925478
jiuquan,39.7432,98.5174,-10.36,-10.36,-10.36,56,1,1.45,CN,1674925479
chara,56.9064,118.2631,-21.71,-21.71,-21.71,80,92,0.99,RU,1674925479
boguchany,58.3814,97.4531,-13.5,-13.5,-13.5,99,100,1.26,RU,1674925479
howell,42.6073,-83.9294,-2.15,-1.27,-3.31,75,75,2.57,US,1674925480
tigil,57.8,158.6667,-22.21,-22.21,-22.21,95,32,1.37,RU,1674925480
birao,10.2849,22.7882,29.01,29.01,29.01,11,87,2.43,CF,1674925480
qarchi gak,37.04,66.7889,1.87,1.87,1.87,66,100,3.53,AF,1674925480
methoni,36.8197,21.7049,10.92,12.9,10.92,61,57,1.35,GR,1674925480
stillwater,36.1156,-97.0584,13.06,13.95,11.16,58,0,10.29,US,1674925371
changchun,43.88,125.3228,-12.88,-12.88,-12.88,66,100,3.34,CN,1674925481
svetlaya,46.5389,138.3297,-19.88,-19.88,-19.88,73,99,4.14,RU,1674925481
la ronge,55.1001,-105.2842,-22.05,-22.05,-22.05,88,100,6.33,CA,1674925482
filingue,14.3521,3.3168,31.15,31.15,31.15,9,61,4.18,NE,1674925482
rongcheng,30.634,117.8517,0.87,0.87,0.87,42,15,1.61,CN,1674925483
sarakhs,36.5449,61.1577,2.35,2.35,2.35,66,47,2.43,IR,1674925483
bardiyah,31.7561,25.0865,15.12,15.12,15.12,62,8,4.06,LY,1674925483
kasongo-lunda,-6.4667,16.8167,25.91,25.91,25.91,74,54,1.1,CD,1674925483
visby,57.6409,18.296,2.09,2.25,1.7,93,100,6.69,SE,1674925484
tres arroyos,-38.3739,-60.2798,32.12,32.12,32.12,22,0,3.45,AR,1674925484
tripoli,32.8752,13.1875,12.85,12.85,12.85,44,0,5.18,LY,1674925418
chicama,-7.8447,-79.1469,21.3,21.3,21.3,59,100,4.12,PE,1674925484
bama,11.5221,13.6856,30.62,30.62,30.62,12,67,0.74,NG,1674925484
grave,51.759,5.7388,1.26,3.88,-1.06,79,20,1.54,NL,1674925407
nieuw amsterdam,5.8833,-55.0833,28.01,28.01,25.08,61,40,5.14,SR,1674925485
rajapur,25.3833,81.15,13.17,13.17,13.17,36,0,1.18,IN,1674925485
synya,65.3718,58.0387,-12.38,-12.38,-12.38,94,100,3.84,RU,1674925485
fort atkinson,42.9289,-88.8371,-8.42,-6.36,-8.95,79,100,0.45,US,1674925486
saint-malo,48.5,-1.8333,4.74,5.81,4.56,73,70,4.37,FR,1674925486
agirish,61.9247,63.0231,-14.53,-14.53,-14.53,91,7,3.72,RU,1674925486
chumikan,54.7183,135.315,-28.82,-28.82,-28.82,85,29,8.95,RU,1674925486
victoria point,-27.5833,153.3,24.14,24.98,22.51,89,51,0.94,AU,1674925487
ust-charyshskaya pristan,52.3934,83.6635,-7.92,-7.92,-7.92,69,1,6.62,RU,1674925487
meulaboh,4.1363,96.1285,24.28,24.28,24.28,87,99,1.6,ID,1674925487
alekseyevskaya,50.2896,42.1845,-7.88,-7.88,-7.88,93,85,2.44,RU,1674925487
rostovka,55.3842,71.8891,-9.3,-9.3,-9.3,94,100,5.37,RU,1674925487
beira,-19.8436,34.8389,28.98,28.98,28.98,57,43,3.12,MZ,1674925285
flinders,-34.5833,150.8552,23.84,24.1,21.81,90,98,1.79,AU,1674925488
saijo,33.9167,133.1833,0.07,1.38,0.07,77,92,3.9,JP,1674925411
mocuba,-16.8392,36.9856,26.72,26.72,26.72,72,76,2.3,MZ,1674925488
kununurra,-15.7667,128.7333,26.99,26.99,26.99,89,40,0.0,AU,1674925369
teguldet,57.3064,88.1667,-7.89,-7.89,-7.89,93,100,4.98,RU,1674925489
rock sound,24.9,-76.2,23.58,23.58,23.58,77,94,10.9,BS,1674925489
storforshei,66.4043,14.5233,-0.12,0.92,-0.13,92,75,4.63,NO,1674925490
salinopolis,-0.6136,-47.3561,27.43,27.43,27.43,73,96,3.42,BR,1674925490
akdepe,42.0551,59.3788,-0.67,-0.67,-0.67,48,0,4.45,TM,1674925490
dothan,31.2232,-85.3905,13.35,14.11,12.58,38,0,3.6,US,1674925490
khudumelapye,-23.8833,24.75,32.68,32.68,32.68,17,41,1.96,BW,1674925490
bonthe,7.5264,-12.505,28.85,28.85,28.85,67,59,5.31,SL,1674925491
kokoda,-8.8785,147.7407,23.7,23.7,23.7,96,74,0.32,PG,1674925491
bousso,10.4795,16.7117,33.32,33.32,33.32,11,93,0.9,TD,1674925491
visavadar,21.3833,70.6833,20.57,20.57,20.57,65,4,1.26,IN,1674925492
port blair,11.6667,92.75,28.02,28.02,28.02,69,40,2.57,IN,1674925201
charyshskoye,51.3978,83.5598,-13.11,-13.11,-13.11,87,9,2.57,RU,1674925492
praia da vitoria,38.7333,-27.0667,15.98,15.98,15.98,77,85,4.39,PT,1674925492
taree,-31.9,152.4667,22.85,22.9,22.26,94,57,1.78,AU,1674925396
kuala terengganu,5.3302,103.1408,27.21,27.21,27.21,86,100,4.74,MY,1674925338
waipawa,-41.4122,175.5153,16.59,16.59,16.59,98,100,2.22,NZ,1674925493
mayumba,-3.432,10.6554,26.44,26.44,26.44,77,98,1.74,GA,1674925493
haines junction,60.7522,-137.5108,-18.04,-18.04,-18.04,100,97,0.38,CA,1674925493
muret,43.3333,1.25,3.0,3.69,2.94,85,100,1.34,FR,1674925493
morgan city,29.6994,-91.2068,20.05,20.57,19.44,64,0,6.17,US,1674925494
port macquarie,-31.4333,152.9167,21.61,21.61,21.61,91,47,4.37,AU,1674925378
thinadhoo,0.5333,72.9333,27.35,27.35,27.35,77,64,5.73,MV,1674925494
rawson,-43.3002,-65.1023,26.92,26.92,26.92,27,0,2.26,AR,1674925494
shingu,33.7333,135.9833,0.42,0.42,0.42,68,3,3.82,JP,1674925201
nishihara,26.1842,127.7558,10.6,10.6,9.81,82,75,6.69,JP,1674925201
nyurba,63.2842,118.3319,-48.08,-48.08,-48.08,100,63,1.29,RU,1674925495
boysun,38.2061,67.1986,0.0,0.0,0.0,61,100,2.01,UZ,1674925495
cajamarca,-7.1638,-78.5003,20.04,20.04,20.04,64,75,3.6,PE,1674925495
piacabucu,-10.4056,-36.4344,29.95,29.95,29.95,54,5,5.68,BR,1674925495
tateyama,34.9833,139.8667,5.38,5.38,5.38,60,42,4.8,JP,1674925214
hay river,60.8156,-115.7999,-20.94,-20.94,-20.94,87,65,6.67,CA,1674925495
bowen,-20.0167,148.2333,25.65,25.65,25.65,86,40,5.64,AU,1674925496
nikki,9.9401,3.2108,36.07,36.07,36.07,11,74,1.4,BJ,1674925496
manta,-0.95,-80.7333,28.88,28.88,28.88,65,40,3.09,EC,1674925496
mtwara,-10.2667,40.1833,26.24,26.24,26.24,79,23,4.92,TZ,1674925497
port-gentil,-0.7193,8.7815,27.31,27.31,27.31,73,66,4.12,GA,1674925290
barstow,34.8986,-117.0228,7.55,8.98,7.55,41,0,0.91,US,1674925497
mangrol,21.1167,70.1167,21.61,21.61,21.61,72,0,3.26,IN,1674925497
wanaka,-44.7,169.15,13.39,13.39,13.39,77,0,0.89,NZ,1674925200
jalu,29.0331,21.5482,15.14,15.14,15.14,36,27,3.46,LY,1674925498
calvinia,-31.4707,19.776,23.45,23.45,23.45,43,1,9.5,ZA,1674925498
bluefield,37.2698,-81.2223,7.15,8.06,5.59,49,0,4.63,US,1674925498
concepcion del oro,24.6333,-101.4167,13.96,13.96,13.96,40,100,3.23,MX,1674925498
kiunga,-6.1219,141.2906,23.3,23.3,23.3,100,100,0.58,PG,1674925499
kapoeta,4.7717,33.5903,31.91,31.91,31.91,22,3,6.51,SS,1674925499
gatton,-27.55,152.2833,22.03,22.46,20.52,97,12,0.25,AU,1674925500
kalmunai,7.4167,81.8167,22.91,22.91,22.91,75,98,4.42,LK,1674925500
hasaki,35.7333,140.8333,-0.78,-0.78,-2.1,41,56,5.48,JP,1674925371
hervey bay,-25.2986,152.8535,24.51,24.51,24.51,83,8,2.53,AU,1674925500
ostersund,63.1792,14.6357,0.25,0.34,0.25,86,75,9.26,SE,1674925500
fuerte olimpo,-21.0415,-57.8738,35.01,35.01,35.01,42,90,2.29,PY,1674925501
manturovo,58.3353,44.7619,-18.09,-18.09,-18.09,100,86,1.88,RU,1674925501
hovd,48.0056,91.6419,-17.84,-17.84,-17.84,82,1,0.65,MN,1674925501
russkaya polyana,49.417,31.9201,-1.96,-1.96,-1.96,67,76,3.89,UA,1674925502
magadan,59.5667,150.8,-18.33,-18.33,-18.33,90,100,3.98,RU,1674925502
namatanai,-3.6667,152.4333,26.33,26.33,26.33,82,34,2.54,PG,1674925429
swellendam,-34.0226,20.4417,16.01,16.01,16.01,84,100,4.81,ZA,1674925503
iki-burul,45.8208,44.6472,0.15,0.15,0.15,92,98,6.21,RU,1674925503
uyuni,-20.4597,-66.825,18.91,18.91,18.91,27,98,7.25,BO,1674925504
shache,38.4167,77.2406,-9.96,-9.96,-9.96,94,79,0.78,CN,1674925504
yamada,39.4667,141.95,-4.63,-4.63,-4.63,54,48,6.12,JP,1674925293
san martin,-33.081,-68.4681,31.18,31.18,31.18,31,1,4.47,AR,1674925504
